"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2016","2017","2018","2019"
"AMPK-SKP2-CARM1 signalling cascade in transcriptional regulation of autophagy","Shin, Hi-Jai R.; Kim, Hyunkyung; Oh, Sungryong; Lee, Jun-Gi; Kee, Minjung; Ko, Hyun-Jeong; Kweon, Mi-Na; Won, Kyoung-Jae; Baek, Sung Hee",NA,NA,NA,"NATURE","JUN 23 2016","2016","534","7608",NA,NA,NA,"553","+",NA,"10.1038/nature18014",NA,NA,"76","19",3,29,33,11
"RETRACTED: Environmentally relevant concentrations of microplastic particles influence larval fish ecology (Retracted Article)","Lonnstedt, Oona M.; Eklov, Peter",NA,NA,NA,"SCIENCE","JUN 3 2016","2016","352","6290",NA,NA,NA,"1213","1216",NA,"10.1126/science.aad8828",NA,NA,"76","19",15,31,24,6
"Self-assembly of coherently dynamic, auxetic, two-dimensional protein crystals","Suzuki, Yuta; Cardone, Giovanni; Restrepo, David; Zavattieri, Pablo D.; Baker, Timothy S.; Tezcan, F. Akif",NA,NA,NA,"NATURE","MAY 19 2016","2016","533","7603",NA,NA,NA,"369","+",NA,"10.1038/nature17633",NA,NA,"76","19",6,24,33,13
"Changes in the composition of brain interstitial ions control the sleep-wake cycle","Ding, Fengfei; O'Donnell, John; Xu, Qiwu; Kang, Ning; Goldman, Nanna; Nedergaard, Maiken",NA,NA,NA,"SCIENCE","APR 29 2016","2016","352","6285",NA,NA,NA,"550","555",NA,"10.1126/science.aad4821",NA,NA,"76","19",9,30,27,10
"beta-Arrestin biosensors reveal a rapid, receptor-dependent activation/deactivation cycle","Nuber, Susanne; Zabel, Ulrike; Lorenz, Kristina; Nuber, Andreas; Milligan, Graeme; Tobin, Andrew B.; Lohse, Martin J.; Hoffmann, Carsten",NA,NA,NA,"NATURE","MAR 31 2016","2016","531","7596",NA,NA,NA,"661","+",NA,"10.1038/nature17198",NA,NA,"76","19",8,34,25,9
"Site-resolved imaging of a fermionic Mott insulator","Greif, Daniel; Parsons, Maxwell F.; Mazurenko, Anton; Chiu, Christie S.; Blatt, Sebastian; Huber, Florian; Ji, Geoffrey; Greiner, Markus",NA,NA,NA,"SCIENCE","FEB 26 2016","2016","351","6276",NA,NA,NA,"953","957",NA,"10.1126/science.aad9041",NA,NA,"76","19",23,22,24,7
"Effector T-cell trafficking between the leptomeninges and the cerebrospinal fluid","Schlaeger, Christian; Koerner, Henrike; Krueger, Martin; Vidoli, Stefano; Haberl, Michael; Mielke, Dorothee; Brylla, Elke; Issekutz, Thomas; Cabanas, Carlos; Nelsons, Peter J.; Ziemssen, Tjalf; Rohde, Veit; Bechmann, Ingo; Lodygin, Dmitri; Odoardi, Francesca; Fluegel, Alexander",NA,NA,NA,"NATURE","FEB 18 2016","2016","530","7590",NA,NA,NA,"349","+",NA,"10.1038/nature16939",NA,NA,"76","19",10,32,27,7
"Oligodendrocyte precursors migrate along vasculature in the developing nervous system","Tsai, Hui-Hsin; Niu, Jianqin; Munji, Roeben; Davalos, Dimitrios; Chang, Junlei; Zhang, Haijing; Tien, An-Chi; Kuo, Calvin J.; Chan, Jonah R.; Daneman, Richard; Fancy, Stephen P. J.",NA,NA,NA,"SCIENCE","JAN 22 2016","2016","351","6271",NA,NA,NA,"379","384",NA,"10.1126/science.aad3839",NA,NA,"76","19",14,26,27,9
"Systematic discovery of cap-independent translation sequences in human and viral genomes","Weingarten-Gabbay, Shira; Elias-Kirma, Shani; Nir, Ronit; Gritsenko, Alexey A.; Stern-Ginossar, Noam; Yakhini, Zohar; Weinberger, Adina; Segal, Eran",NA,NA,NA,"SCIENCE","JAN 15 2016","2016","351","6270",NA,NA,NA,NA,NA,"aad4939","10.1126/science.aad4939",NA,NA,"76","19",15,25,26,10
"Crystal structures of agonist-bound human cannabinoid receptor CB1","Hua, Tian; Vemuri, Kiran; Nikas, Spyros P.; Laprairie, Robert B.; Wu, Yiran; Qu, Lu; Pu, Mengchen; Korde, Anisha; Jiang, Shan; Ho, Jo-Hao; Han, Gye Won; Ding, Kang; Li, Xuanxuan; Liu, Haiguang; Hanson, Michael A.; Zhao, Suwen; Bohn, Laura M.; Makriyannis, Alexandros; Stevens, Raymond C.; Liu, Zhi-Jie",NA,NA,NA,"NATURE","JUL 27 2017","2017","547","7664",NA,NA,NA,"468","+",NA,"10.1038/nature23272",NA,NA,"75","25",0,3,49,23
"Fatty acids in arbuscular mycorrhizal fungi are synthesized by the host plant","Luginbuehl, Leonie H.; Menard, Guillaume N.; Kurup, Smita; Van Erp, Harrie; Radhakrishnan, Guru V.; Breakspear, Andrew; Oldroyd, Giles E. D.; Eastmond, Peter J.",NA,NA,NA,"SCIENCE","JUN 16 2017","2017","356","6343",NA,NA,NA,"1175","1178",NA,"10.1126/science.aan0081",NA,NA,"75","25",0,9,49,17
"Damming the rivers of the Amazon basin","Latrubesse, Edgardo M.; Arima, Eugenio Y.; Dunne, Thomas; Park, Edward; Baker, Victor R.; d'Horta, Fernando M.; Wight, Charles; Wittmann, Florian; Zuanon, Jansen; Baker, Paul A.; Ribas, Camila C.; Norgaard, Richard B.; Filizola, Naziano; Ansar, Atif; Flyvbjerg, Bent; Stevaux, Jose C.",NA,NA,NA,"NATURE","JUN 15 2017","2017","546","7658",NA,NA,NA,"363","369",NA,"10.1038/nature22333",NA,NA,"75","25",0,10,37,28
"Zika virus evolution and spread in the Americas","Metsky, Hayden C.; Matranga, Christian B.; Wohl, Shirlee; Schaffner, Stephen F.; Freije, Catherine A.; Winnicki, Sarah M.; West, Kendra; Qu, James; Baniecki, Mary Lynn; Gladden-Young, Adrianne; Lin, Aaron E.; Tomkins-Tinch, Christopher H.; Ye, Simon H.; Park, Daniel J.; Luo, Cynthia Y.; Barnes, Kayla G.; Shah, Rickey R.; Chak, Bridget; Barbosa-Lima, Giselle; Delatorre, Edson; Vieira, Yasmine R.; Paul, Lauren M.; Tan, Amanda L.; Barcellona, Carolyn M.; Porcelli, Mario C.; Vasquez, Chalmers; Cannons, Andrew C.; Cone, Marshall R.; Hogan, Kelly N.; Kopp, Edgar W.; Anzinger, Joshua J.; Garcia, Kimberly F.; Parham, Leda A.; Gelvez Ramirez, Rosa M.; Miranda Montoya, Maria C.; Rojas, Diana P.; Brown, Catherine M.; Hennigan, Scott; Sabina, Brandon; Scotland, Sarah; Gangavarapu, Karthik; Grubaugh, Nathan D.; Oliveira, Glenn; Robles-Sikisaka, Refugio; Rambaut, Andrew; Gehrke, Lee; Smole, Sandra; Halloran, M. Elizabeth; Villar, Luis; Mattar, Salim; Lorenzana, Ivette; Cerbino-Neto, Jose; Valim, Clarissa; Degrave, Wim; Bozza, Patricia T.; Gnirke, Andreas; Andersen, Kristian G.; Isern, Sharon; Michael, Scott F.; Bozza, Fernando A.; Souza, Thiago M. L.; Bosch, Irene; Yozwiak, Nathan L.; MacInnis, Bronwyn L.; Sabeti, Pardis C.",NA,NA,NA,"NATURE","JUN 15 2017","2017","546","7658",NA,NA,NA,"411","+",NA,"10.1038/nature22402",NA,NA,"75","25",0,13,50,12
"Effective combinatorial immunotherapy for castration-resistant prostate cancer","Lu, Xin; Horner, James W.; Paul, Erin; Shang, Xiaoying; Troncoso, Patricia; Deng, Pingna; Jiang, Shan; Chang, Qing; Spring, Denise J.; Sharma, Padmanee; Zebala, John A.; Maeda, Dean Y.; Wang, Y. Alan; DePinho, Ronald A.",NA,NA,NA,"NATURE","MAR 30 2017","2017","543","7647",NA,NA,NA,"728","+",NA,"10.1038/nature21676",NA,NA,"75","25",0,17,40,18
"Integrin-YAP/TAZ-JNK cascade mediates atheroprotective effect of unidirectional shear flow","Wang, Li; Luo, Jiang-Yun; Li, Bochuan; Tian, Xiao Yu; Chen, Li-Jing; Huang, Yuhong; Liu, Jian; Deng, Dan; Lau, Chi Wai; Wan, Song; Ai, Ding; Mak, King-Lun Kingston; Tong, Ka Kui; Kwan, Kin Ming; Wang, Nanping; Chiu, Jeng-Jiann; Zhu, Yi; Huang, Yu",NA,NA,NA,"NATURE","DEC 22 2016","2016","540","7634",NA,NA,NA,"579","+",NA,"10.1038/nature20602",NA,NA,"75","18.75",1,17,37,20
"Structure of CC chemokine receptor 2 with orthosteric and allosteric antagonists","Zheng, Yi; Qin, Ling; Zacarias, Natalia V. Ortiz; de Vries, Henk; Han, Gye Won; Gustavsson, Martin; Dabros, Marta; Zhao, Chunxia; Cherney, Robert J.; Carter, Percy; Stamos, Dean; Abagyan, Ruben; Cherezov, Vadim; Stevens, Raymond C.; Ijzerman, Adriaan P.; Heitman, Laura H.; Tebben, Andrew; Kufareva, Irina; Handel, Tracy M.",NA,NA,NA,"NATURE","DEC 15 2016","2016","540","7633",NA,NA,NA,"458","+",NA,"10.1038/nature20605",NA,NA,"75","18.75",1,21,38,15
"A triple protostar system formed via fragmentation of a gravitationally unstable disk","Tobin, John J.; Kratter, Kaitlin M.; Persson, Magnus V.; Looney, Leslie W.; Dunham, Michael M.; Segura-Cox, Dominique; Li, Zhi-Yun; Chandler, Claire J.; Sadavoy, Sarah I.; Harris, Robert J.; Melis, Carl; Perez, Laura M.",NA,NA,NA,"NATURE","OCT 27 2016","2016","538","7626",NA,NA,NA,"483","+",NA,"10.1038/nature20094",NA,NA,"75","18.75",1,24,33,17
"Diversity-oriented synthesis yields novel multistage antimalarial inhibitors","Kato, Nobutaka; Comer, Eamon; Sakata-Kato, Tomoyo; Sharma, Arvind; Sharma, Manmohan; Maetani, Micah; Bastien, Jessica; Brancucci, Nicolas M.; Bittker, Joshua A.; Corey, Victoria; Clarke, David; Derbyshire, Emily R.; Dornan, Gillian L.; Duffy, Sandra; Eckley, Sean; Itoe, Maurice A.; Koolen, Karin M. J.; Lewis, Timothy A.; Lui, Ping S.; Lukens, Amanda K.; Lund, Emily; March, Sandra; Meibalan, Elamaran; Meier, Bennett C.; McPhail, Jacob A.; Mitasev, Branko; Moss, Eli L.; Sayes, Morgane; Van Gessel, Yvonne; Wawer, Mathias J.; Yoshinaga, Takashi; Zeeman, Anne-Marie; Avery, Vicky M.; Bhatia, Sangeeta N.; Burke, John E.; Catteruccia, Flaminia; Clardy, Jon C.; Clemons, Paul A.; Dechering, Koen J.; Duvall, Jeremy R.; Foley, Michael A.; Gusovsky, Fabian; Kocken, Clemens H. M.; Marti, Matthias; Morningstar, Marshall L.; Munoz, Benito; Neafsey, Daniel E.; Sharma, Amit; Winzeler, Elizabeth A.; Wirth, Dyann F.; Scherer, Christina A.; Schreiber, Stuart L.",NA,NA,NA,"NATURE","OCT 20 2016","2016","538","7625",NA,NA,NA,"344","+",NA,"10.1038/nature19804",NA,NA,"75","18.75",4,23,32,16
"Postglacial viability and colonization in North America's ice-free corridor","Pedersen, Mikkel W.; Ruter, Anthony; Schweger, Charles; Friebe, Harvey; Staff, Richard A.; Kjeldsen, Kristian K.; Mendoza, Marie L. Z.; Beaudoin, Alwynne B.; Zutter, Cynthia; Larsen, Nicolaj K.; Potter, Ben A.; Nielsenlo, Rasmus; Rainville, Rebecca A.; Orlando, Ludovic; Meltzer, David J.; Kjaer, Kurt H.; Willerslev, Eske",NA,NA,NA,"NATURE","SEP 1 2016","2016","537","7618",NA,NA,NA,"45","49",NA,"10.1038/nature19085",NA,NA,"75","18.75",3,34,33,5
"Asymmetric division of contractile domains couples cell positioning and fate specification","Maitre, Jean-Leon; Turlier, Herve; Illukkumbura, Rukshala; Eismann, Bjoern; Niwayama, Ritsuya; Nedelec, Francois; Hiiragi, Takashi",NA,NA,NA,"NATURE","AUG 18 2016","2016","536","7616",NA,NA,NA,"344","+",NA,"10.1038/nature18958",NA,NA,"75","18.75",3,34,30,8
"Cdk5 disruption attenuates tumor PD-L1 expression and promotes antitumor immunity","Dorand, R. Dixon; Nthale, Joseph; Myers, Jay T.; Barkauskas, Deborah S.; Avril, Stefanie; Chirieleison, Steven M.; Pareek, Tej K.; Abbott, Derek W.; Stearns, Duncan S.; Letterio, John J.; Huang, Alex Y.; Petrosiute, Agne",NA,NA,NA,"SCIENCE","JUL 22 2016","2016","353","6297",NA,NA,NA,"399","403",NA,"10.1126/science.aae0477",NA,NA,"75","18.75",5,25,29,16
"Consistent response of bird populations to climate change on two continents","Stephens, Philip A.; Mason, Lucy R.; Green, Rhys E.; Gregory, Richard D.; Sauer, John R.; Alison, Jamie; Aunins, Ainars; Brotons, Lluis; Butchart, Stuart H. M.; Campedelli, Tommaso; Chodkiewicz, Tomasz; Chylarecki, Przemyslaw; Crowe, Olivia; Elts, Jaanus; Escandell, Virginia; Foppen, Ruud P. B.; Heldbjerg, Henning; Herrando, Sergi; Husby, Magne; Jiguet, Frederic; Lehikoinen, Aleksi; Lindstrom, Ake; Noble, David G.; Paquet, Jean-Yves; Reif, Jiri; Sattler, Thomas; Szep, Tibor; Teufelbauer, Norbert; Trautmann, Sven; van Strien, Arco J.; van Turnhout, Chris A. M.; Vorisek, Petr; Willis, Stephen G.",NA,NA,NA,"SCIENCE","APR 1 2016","2016","352","6281",NA,NA,NA,"84","87",NA,"10.1126/science.aac4858",NA,NA,"75","18.75",5,25,34,11
"Isolation of potent neutralizing antibodies from a survivor of the 2014 Ebola virus outbreak","Bornholdt, Zachary A.; Turner, Hannah L.; Murin, Charles D.; Li, Wen; Sok, Devin; Souders, Colby A.; Piper, Ashley E.; Goff, Arthur; Shamblin, Joshua D.; Wollen, Suzanne E.; Sprague, Thomas R.; Fusco, Marnie L.; Pommert, Kathleen B. J.; Cavacini, Lisa A.; Smith, Heidi L.; Klempner, Mark; Reimann, Keith A.; Krauland, Eric; Gerngross, Tillman U.; Wittrup, Karl D.; Saphire, Erica Ollmann; Burton, Dennis R.; Glass, Pamela J.; Ward, Andrew B.; Walker, Laura M.",NA,NA,NA,"SCIENCE","MAR 4 2016","2016","351","6277",NA,NA,NA,"1078","1083",NA,"10.1126/science.aad5788",NA,NA,"75","18.75",7,32,28,8
"Perovskite light-emitting diodes with external quantum efficiency exceeding 20 per cent","Lin, Kebin; Xing, Jun; Quan, Li Na; de Arquer, F. Pelayo Garcia; Gong, Xiwen; Lu, Jianxun; Xie, Liqiang; Zhao, Weijie; Zhang, Di; Yan, Chuanzhong; Li, Wenqiang; Liu, Xinyi; Lu, Yan; Kirman, Jeffrey; Sargent, Edward H.; Xiong, Qihua; Wei, Zhanhua",NA,NA,NA,"NATURE","OCT 11 2018","2018","562","7726",NA,NA,NA,"245","+",NA,"10.1038/s41586-018-0575-3",NA,NA,"74","37",0,0,5,69
